Zip,Total Population,Median Age,Percent White,Percent Black,Percent Hispanic,Median Income,Mean Income
6390,280,48.2,100,0,0,151250,123712
10001,21097,34.6,63.9,10.5,14.1,67795,121403
10002,81335,39.7,30.5,7,24.5,32407,57063
10003,55190,32.5,76.9,3.6,7.7,88601,140822
10004,2604,33.1,71.9,6.1,7.3,127448,245827
10005,4935,29.1,75.4,1,3.5,117885,159876
10006,2722,30.7,62.5,3.2,9.7,111617,150366
10007,5892,34.3,71.9,6.9,9,191900,347623
10009,62335,36.8,58.7,8.7,24.2,55316,83700
10010,28954,35.3,75.3,4.6,11.9,94242,155208
10011,51064,39.6,79.3,3.8,10.9,99700,181230
10012,24342,34.1,76.5,2.5,5.8,77072,134811
10013,25942,37.1,50.9,3.8,5.7,64806,172252
10014,31685,36.8,89,1.7,5.3,102747,161283
10016,53754,32.7,75.9,3.5,9.4,102796,156390
10017,15603,38.1,76.6,2,7.3,105974,157961
10018,5290,31.3,58.7,7.2,20.9,84850,126491
10019,40778,37.6,72.5,5.7,18.3,79508,134360
10020,0,,,,,,
10021,41546,41.8,87.7,2.5,4.8,109343,203545
10022,28847,46.7,85.3,2,5.8,109625,201941
10023,60035,40.1,82.4,3.1,9.1,105260,191790
10024,60239,40.7,84.4,5.1,10.5,111582,194581
10025,95330,37.5,64.9,16.2,21,64592,115200
10026,36026,33,22.8,57.8,19.3,39574,64751
10027,58834,30.9,29,42.2,24,35157,62340
10028,45345,38.6,89.2,1.4,5.4,107885,202861
10029,78451,32.7,30.8,31.7,50.1,31851,58637
10030,29186,34.9,13.5,72.9,21.9,29063,49605
10031,58736,32,24.8,38.6,54.6,36188,58887
10032,62798,33.6,23.3,23.1,68.4,35079,49433
10033,58027,35,41.4,7.3,70.8,40625,61086
10034,40925,37,36,10.1,72.8,42919,55286
10035,35290,32.5,20.1,38,51.9,26365,45516
10036,22371,39.8,62.6,8.2,17.2,62997,101421
10037,17489,38,7.7,77.5,14.9,40681,52434
10038,19530,33.6,47.5,7.7,14.7,65473,124271
10039,25257,34,12.2,69.4,27.9,34096,43417
10040,43753,36.1,41.5,9.4,71,37244,55144
10044,11399,39.6,56.4,17.8,16.3,76250,103751
10065,32193,39.8,88.2,1.3,4.4,111334,197585
10069,5214,35.5,73.4,2.3,6.1,165417,245392
10075,26082,40.6,87.5,1.8,8.1,99438,187860
10103,0,,,,,,
10110,4,41,50,0,25,,
10111,0,,,,,,
10112,0,,,,,,
10115,0,,,,,,
10119,0,,,,,,
10128,58793,38.4,82.1,3.9,9.6,97132,174231
10152,0,,,,,,
10153,0,,,,,,
10154,0,,,,,,
10162,1608,39.6,91.7,0,17.8,181417,199280
10165,0,,,,,,
10167,0,,,,,,
10168,0,,,,,,
10169,0,,,,,,
10170,0,,,,,,
10171,0,,,,,,
10172,0,,,,,,
10173,0,,,,,,
10174,0,,,,,,
10177,0,,,,,,
10199,0,,,,,,
10271,0,,,,,,
10278,0,,,,,,
10279,0,,,,,,
10280,7741,37.5,70.3,1.6,7.7,135199,167573
10282,5027,34.1,65.5,0.6,19.9,232031,312880
10301,39367,34,61,22.9,25.3,53943,74852
10302,17128,32.9,59,21.6,37.3,56518,67999
10303,26274,31.1,38.3,37,36.1,54956,68471
10304,40934,35.9,50.8,26.8,23.2,53847,73616
10305,40085,39.6,77.2,4.7,16,63401,79425
10306,55710,40.5,88.7,2.8,13.1,77767,92729
10307,14363,37.1,95.5,1.4,9.2,87121,113102
10308,29014,41.3,93.6,0,7.9,88342,104300
10309,30706,38,91.8,2.9,10.5,82905,99808
10310,24473,34.3,58,25,24.6,63808,81636
10311,0,,,,,,
10312,60318,40.3,93,1.1,9.7,86415,101752
10314,87662,40.5,79.5,3.3,12,78803,90905
10451,43550,31.7,19.1,47.6,57,25044,35281
10452,75150,30.1,15,33.5,68.4,27040,35744
10453,79376,29.4,10,35.1,65.8,26574,36352
10454,38523,28.8,37.4,35.1,72,19840,33417
10455,37699,29,24.6,33.1,76.6,23830,33418
10456,86121,30.6,9.4,44,56.5,22549,33512
10457,69144,28.4,12.8,39.2,64.5,24537,35096
10458,73436,28.2,20.1,22.1,65.4,25027,35194
10459,45261,27.5,15.5,31.2,69.3,22458,34701
10460,55462,29.6,13.4,26.9,70.6,24307,35187
10461,51767,37.6,52,7,36.6,51147,63417
10462,75407,35.4,23.6,27.2,46.5,45025,52056
10463,68345,39.6,43.8,14.4,48.4,52505,72426
10464,4255,49,84.7,2.4,20,67273,81856
10465,42688,40.5,67.3,9.1,33,66216,77952
10466,72997,35,8.7,75.2,20.9,45737,56838
10467,93833,32.9,19.7,38.4,44.7,35404,46481
10468,73738,31.6,13.9,24.2,69,31707,42329
10469,71245,36.6,20.8,55.5,24.4,56352,69155
10470,14952,36.6,45.8,34.4,16.8,52510,65451
10471,22222,42.1,72.4,8.3,19.7,72431,104139
10472,66041,30.4,14.7,30.5,65,30413,43420
10473,57444,35.6,15.3,39.4,60,39818,54715
10474,12466,27.8,38.3,31.5,72.8,22403,30209
10475,41377,44.7,22.4,57.7,32.1,47767,60158
10501,1206,39.6,86.8,1.6,8.4,139712,204907
10502,5289,44.5,75.4,3.1,14.9,131184,170052
10503,222,57.7,90.5,0,0,230625,205411
